P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
188,185,185,190,175,188,196,188,180,183,198,183,193,188,183,193,183,206,185,188,198,193,190,188,178,185,185,190,185,190,193,196,203,183,178,183,183,188,190,183,185,178,193,178,183,190,180,190,178,183,180,185,175,190,193,188,208,188,185,190,193,185,180,188,188,168,178,183,196,183,180,196,188,185,173,188,185,188,183,190,183,180,175,180,175,188,183,178,183,198,183,188,198,188,196,178,178,190,173,193
80,85,85,84,73,91,91,82,83,84,97,70,87,88,73,80,79,111,75,85,87,86,82,81,68,77,83,77,76,75,90,90,89,81,75,73,83,82,75,73,82,70,77,70,82,77,76,80,74,73,75,79,70,86,92,75,104,84,83,77,80,77,79,82,80,65,65,73,81,75,75,83,88,80,74,77,78,83,73,80,69,74,65,73,73,78,66,73,71,88,72,79,91,83,80,74,72,90,70,100
